Donor_Age,Blood_Type,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),Donation_Location,Target
57.0,AB-,14.0,8.0,6222,15,Clinic,0
,B-,27.0,7.0,3698,63,Mobile_Bus,0
48.0,B-,16.0,6.0,14615,19,Hospital,0
27.0,AB-,13.0,12.0,4261,71,Hospital,1
27.0,AB-,7.0,25.0,6408,42,Mobile_Bus,1
60.0,AB-,7.0,52.0,4351,33,Clinic,0
41.0,A+,28.0,17.0,9990,68,Mobile_Bus,1
25.0,B+,9.0,23.0,4453,58,Clinic,0
26.0,B-,7.0,8.0,7509,94,Clinic,0
32.0,A+,24.0,16.0,10297,48,Mobile_Bus,1
29.0,AB+,2.0,12.0,11526,86,Mobile_Bus,0
,O-,9.0,23.0,8977,99,Mobile_Bus,1
62.0,O+,3.0,7.0,2902,61,Clinic,0
62.0,AB-,28.0,28.0,495,10,Clinic,0
25.0,A-,4.0,47.0,1486,34,Hospital,1
32.0,AB-,,46.0,2396,7,Mobile_Bus,1
34.0,AB+,4.0,47.0,1673,26,Mobile_Bus,0
61.0,O+,16.0,45.0,8867,79,Hospital,0
22.0,O-,20.0,,11863,69,Clinic,0
29.0,AB-,6.0,23.0,1640,90,Mobile_Bus,0
49.0,B-,6.0,,497,63,Mobile_Bus,1
45.0,A+,,43.0,5007,40,Hospital,1
54.0,B-,19.0,23.0,394,13,Mobile_Bus,1
56.0,B+,26.0,47.0,5216,47,Hospital,1
58.0,O+,28.0,57.0,2610,30,Mobile_Bus,0
30.0,A-,6.0,38.0,7150,62,Hospital,0
28.0,O-,10.0,3.0,1546,80,Hospital,1
63.0,O+,21.0,52.0,11203,23,Clinic,1
52.0,AB-,1.0,,12257,41,Mobile_Bus,1
51.0,AB-,23.0,6.0,12448,38,Mobile_Bus,1
35.0,B-,19.0,50.0,10274,7,Mobile_Bus,1
36.0,O+,28.0,30.0,5634,8,Hospital,0
30.0,O-,9.0,12.0,7661,91,Hospital,1
59.0,O-,23.0,11.0,3338,43,Mobile_Bus,0
34.0,A+,9.0,48.0,10242,49,Hospital,1
30.0,AB-,5.0,29.0,5724,74,Mobile_Bus,0
28.0,A+,3.0,19.0,13355,94,Hospital,0
55.0,B-,18.0,54.0,330,38,Clinic,1
22.0,A-,18.0,37.0,7945,65,Mobile_Bus,1
35.0,B-,3.0,13.0,1390,5,Clinic,1
55.0,AB+,23.0,24.0,13219,6,Hospital,1
,AB+,,11.0,8637,65,Mobile_Bus,0
27.0,AB+,7.0,50.0,10869,12,Hospital,0
58.0,O+,,14.0,5109,99,Hospital,1
30.0,B+,23.0,6.0,11932,7,Mobile_Bus,1
63.0,AB-,26.0,41.0,12416,48,Mobile_Bus,1
47.0,B-,27.0,52.0,3232,81,Mobile_Bus,1
31.0,AB-,6.0,35.0,9557,40,Clinic,0
44.0,O+,28.0,18.0,12350,19,Mobile_Bus,1
39.0,B+,11.0,18.0,3982,23,Clinic,0
46.0,A-,3.0,19.0,5059,5,Mobile_Bus,1
51.0,O-,21.0,15.0,3154,72,Clinic,1
52.0,A-,,21.0,2062,60,Mobile_Bus,1
21.0,O-,29.0,3.0,11511,23,Clinic,0
50.0,AB+,19.0,28.0,9149,35,Mobile_Bus,1
20.0,AB+,27.0,,13775,12,Mobile_Bus,1
51.0,AB+,5.0,27.0,303,74,Clinic,1
37.0,B-,8.0,50.0,4617,28,Hospital,0
19.0,B-,9.0,2.0,2811,38,Clinic,0
18.0,O-,6.0,58.0,8528,31,Mobile_Bus,0
20.0,A-,19.0,25.0,7431,66,Mobile_Bus,0
34.0,AB-,2.0,45.0,11347,24,Hospital,1
35.0,O-,1.0,20.0,9714,63,Clinic,1
38.0,B+,10.0,18.0,10966,88,Mobile_Bus,1
20.0,B-,7.0,56.0,14347,89,Mobile_Bus,1
57.0,B+,15.0,47.0,7409,58,Mobile_Bus,0
41.0,O+,24.0,51.0,1180,62,Mobile_Bus,1
24.0,O-,18.0,49.0,8893,74,Mobile_Bus,1
51.0,AB-,7.0,49.0,10946,35,Mobile_Bus,1
53.0,B-,8.0,6.0,9190,51,Clinic,1
41.0,B+,15.0,46.0,8625,37,Clinic,0
38.0,A+,12.0,20.0,12254,24,Clinic,0
64.0,AB-,,10.0,5026,10,Hospital,1
19.0,B+,24.0,42.0,14066,41,Mobile_Bus,0
33.0,B-,5.0,15.0,7622,50,Mobile_Bus,1
,A+,26.0,9.0,7109,10,Hospital,0
45.0,O+,7.0,8.0,2838,35,Hospital,0
,B+,10.0,50.0,6407,18,Hospital,0
49.0,A+,5.0,,3137,38,Clinic,0
64.0,A-,12.0,54.0,10667,13,Clinic,0
35.0,O+,10.0,9.0,7917,73,Clinic,1
34.0,AB+,27.0,45.0,7259,64,Mobile_Bus,0
39.0,A-,,27.0,9671,47,Mobile_Bus,1
19.0,B+,24.0,5.0,8643,72,Hospital,0
27.0,B+,16.0,46.0,480,93,Hospital,0
47.0,O-,19.0,14.0,5325,55,Clinic,0
27.0,AB-,24.0,47.0,5371,96,Hospital,0
18.0,B-,16.0,11.0,12598,40,Hospital,0
54.0,AB-,7.0,19.0,12858,47,Clinic,0
23.0,O-,24.0,15.0,719,97,Mobile_Bus,0
51.0,A-,19.0,14.0,497,61,Clinic,0
61.0,A-,13.0,47.0,6446,20,Clinic,0
60.0,O+,27.0,34.0,2173,48,Hospital,0
52.0,A-,10.0,32.0,6224,4,Clinic,1
56.0,O+,8.0,58.0,5705,33,Mobile_Bus,0
25.0,A-,15.0,54.0,5177,72,Hospital,0
34.0,B-,3.0,42.0,7181,53,Mobile_Bus,0
61.0,A+,29.0,36.0,10641,65,Mobile_Bus,0
56.0,O-,19.0,16.0,626,7,Clinic,1
18.0,A-,28.0,31.0,4161,99,Clinic,0
,O-,,12.0,8507,62,Mobile_Bus,0
21.0,A-,,27.0,9487,67,Mobile_Bus,0
,B+,19.0,49.0,6245,34,Hospital,0
64.0,B+,,8.0,11210,61,Hospital,0
28.0,AB-,25.0,13.0,11725,30,Mobile_Bus,0
33.0,AB-,27.0,51.0,9743,24,Hospital,0
35.0,O+,9.0,18.0,2794,17,Hospital,0
39.0,A-,16.0,8.0,9840,80,Mobile_Bus,0
27.0,O-,24.0,20.0,10770,51,Mobile_Bus,1
53.0,B-,3.0,48.0,8703,67,Mobile_Bus,0
40.0,B-,15.0,,14136,78,Hospital,1
56.0,AB-,12.0,37.0,3240,75,Clinic,1
,B+,6.0,46.0,3202,35,Hospital,0
30.0,B-,17.0,52.0,6772,76,Mobile_Bus,0
28.0,B+,25.0,17.0,3495,67,Clinic,0
60.0,B-,17.0,59.0,11615,70,Hospital,0
28.0,O+,3.0,40.0,9938,31,Clinic,1
52.0,B+,24.0,50.0,14306,85,Clinic,0
64.0,O-,13.0,47.0,6978,4,Clinic,0
43.0,B+,14.0,,14317,17,Hospital,0
19.0,B-,20.0,24.0,7236,80,Mobile_Bus,0
50.0,A+,10.0,46.0,11861,51,Hospital,1
26.0,A-,9.0,2.0,4088,75,Hospital,1
59.0,AB-,15.0,46.0,2484,33,Mobile_Bus,1
19.0,A-,14.0,10.0,5538,20,Hospital,1
34.0,B+,21.0,2.0,2439,83,Mobile_Bus,1
24.0,AB-,10.0,4.0,3535,75,Mobile_Bus,1
33.0,A+,4.0,21.0,10722,49,Hospital,1
61.0,O+,18.0,24.0,8389,21,Clinic,0
30.0,O-,3.0,21.0,8162,70,Mobile_Bus,1
56.0,A-,9.0,51.0,1027,71,Hospital,1
,B-,,38.0,697,43,Clinic,1
36.0,A+,14.0,18.0,5203,52,Hospital,1
57.0,O+,25.0,45.0,9901,52,Mobile_Bus,0
63.0,AB+,3.0,,1914,90,Hospital,0
45.0,A-,29.0,32.0,14989,76,Mobile_Bus,0
38.0,B-,12.0,16.0,14533,58,Mobile_Bus,0
43.0,O-,15.0,45.0,9446,50,Mobile_Bus,1
42.0,B-,12.0,15.0,14311,80,Hospital,0
46.0,AB+,29.0,2.0,3183,43,Hospital,0
36.0,B+,15.0,35.0,11101,22,Mobile_Bus,0
44.0,AB-,6.0,15.0,4969,79,Clinic,0
59.0,AB+,21.0,31.0,2627,92,Clinic,1
52.0,A-,29.0,6.0,12254,63,Clinic,0
47.0,A-,15.0,4.0,13875,56,Hospital,0
37.0,A+,12.0,,3071,25,Mobile_Bus,1
61.0,A+,20.0,56.0,1986,14,Mobile_Bus,0
29.0,AB+,7.0,,8031,66,Clinic,0
43.0,O-,,56.0,5020,32,Hospital,0
32.0,AB-,3.0,31.0,14044,78,Clinic,1
53.0,B+,13.0,58.0,12295,84,Clinic,1
48.0,B+,8.0,27.0,625,99,Mobile_Bus,1
55.0,B+,13.0,15.0,14872,46,Mobile_Bus,1
31.0,AB-,29.0,57.0,267,56,Hospital,0
58.0,AB-,19.0,55.0,11874,85,Mobile_Bus,1
56.0,AB+,27.0,49.0,5105,7,Hospital,1
25.0,A+,18.0,23.0,8850,85,Hospital,1
28.0,O+,12.0,25.0,8499,68,Hospital,1
38.0,B-,25.0,34.0,6821,30,Mobile_Bus,0
23.0,AB-,1.0,22.0,4335,77,Mobile_Bus,0
31.0,AB-,29.0,,12264,15,Clinic,1
35.0,A+,21.0,15.0,2370,34,Clinic,1
23.0,B-,11.0,46.0,13823,88,Hospital,1
46.0,A-,10.0,,11571,92,Clinic,1
28.0,B+,20.0,12.0,7576,80,Hospital,1
55.0,AB-,26.0,50.0,13207,63,Hospital,0
56.0,A-,,8.0,14110,65,Hospital,1
52.0,B-,12.0,4.0,10917,55,Clinic,0
39.0,O+,9.0,45.0,14273,2,Mobile_Bus,1
20.0,AB-,10.0,47.0,10830,87,Clinic,1
47.0,B+,14.0,47.0,6437,42,Hospital,1
23.0,O-,13.0,7.0,3273,68,Clinic,0
25.0,AB-,2.0,22.0,3391,47,Clinic,0
62.0,AB-,12.0,28.0,4231,91,Mobile_Bus,1
30.0,B-,22.0,19.0,9924,46,Mobile_Bus,1
41.0,O-,4.0,57.0,7705,98,Hospital,1
18.0,A+,26.0,,6109,49,Mobile_Bus,1
,B+,24.0,31.0,4002,19,Clinic,1
46.0,AB-,5.0,26.0,4860,49,Mobile_Bus,1
56.0,B+,19.0,55.0,4148,27,Hospital,0
26.0,A+,25.0,42.0,12249,37,Clinic,0
44.0,B-,15.0,10.0,8359,42,Clinic,1
,AB+,13.0,24.0,8544,24,Clinic,0
48.0,O-,6.0,4.0,9372,94,Mobile_Bus,1
150.0,AB+,29.0,31.0,9102,68,Mobile_Bus,0
,O+,25.0,12.0,14981,76,Hospital,0
51.0,A+,,2.0,10331,74,Mobile_Bus,0
21.0,B+,26.0,30.0,11659,2,Hospital,0
61.0,AB-,8.0,34.0,1996,50,Mobile_Bus,0
49.0,O+,10.0,55.0,9046,70,Clinic,1
46.0,AB+,4.0,17.0,10151,15,Hospital,0
,A+,7.0,40.0,12795,94,Hospital,0
19.0,O-,13.0,,11151,46,Mobile_Bus,0
49.0,AB+,19.0,21.0,14489,98,Hospital,0
40.0,B+,14.0,25.0,6476,74,Clinic,1
35.0,AB+,29.0,40.0,11723,71,Clinic,1
40.0,O+,16.0,8.0,6377,71,Mobile_Bus,0
24.0,AB-,2.0,11.0,13375,62,Mobile_Bus,0
23.0,O-,8.0,30.0,6569,45,Clinic,1
56.0,O-,21.0,4.0,14381,7,Hospital,0
52.0,B+,22.0,47.0,3326,85,Hospital,1
52.0,A-,2.0,44.0,8557,81,Clinic,0
42.0,AB+,8.0,37.0,811,53,Mobile_Bus,0
32.0,O-,6.0,37.0,982,71,Clinic,1
31.0,A-,21.0,40.0,9320,11,Mobile_Bus,0
34.0,A-,14.0,24.0,9913,77,Mobile_Bus,1
33.0,B+,24.0,31.0,10144,30,Clinic,1
48.0,A-,5.0,15.0,5063,16,Clinic,0
24.0,B-,23.0,37.0,692,87,Hospital,0
35.0,AB-,27.0,6.0,10891,33,Clinic,1
23.0,A+,17.0,2.0,9785,99,Clinic,0
64.0,B+,27.0,14.0,6200,23,Clinic,1
40.0,AB+,1.0,21.0,2710,46,Hospital,1
33.0,AB-,3.0,59.0,2365,99,Mobile_Bus,1
59.0,O+,4.0,11.0,6419,74,Clinic,0
58.0,A-,8.0,33.0,5050,50,Clinic,0
59.0,B+,21.0,26.0,9814,91,Hospital,0
47.0,B+,11.0,17.0,3444,11,Hospital,0
35.0,AB+,8.0,33.0,6055,85,Clinic,0
22.0,O-,29.0,2.0,13865,97,Mobile_Bus,0
49.0,AB-,,6.0,6350,52,Mobile_Bus,0
37.0,O-,16.0,19.0,8840,51,Mobile_Bus,0
47.0,AB-,25.0,5.0,3832,89,Clinic,0
38.0,AB-,13.0,1.0,3207,96,Mobile_Bus,1
54.0,AB+,21.0,17.0,7532,9,Clinic,0
43.0,A+,3.0,38.0,1104,86,Clinic,1
20.0,B-,3.0,22.0,7731,28,Mobile_Bus,0
19.0,B-,29.0,55.0,14822,78,Hospital,1
,AB+,22.0,49.0,4524,25,Mobile_Bus,0
,AB-,16.0,46.0,8864,68,Mobile_Bus,1
40.0,O-,12.0,53.0,7249,19,Hospital,1
52.0,AB+,9.0,47.0,7996,24,Mobile_Bus,0
55.0,A-,17.0,55.0,14036,57,Mobile_Bus,0
31.0,O-,5.0,19.0,8206,57,Mobile_Bus,0
25.0,A-,16.0,36.0,6545,73,Clinic,1
57.0,AB+,8.0,40.0,4280,58,Hospital,0
33.0,A-,3.0,30.0,12740,97,Hospital,0
,O-,7.0,31.0,4276,7,Hospital,1
58.0,A-,4.0,45.0,1718,64,Mobile_Bus,1
47.0,A-,24.0,8.0,8904,34,Hospital,0
39.0,O+,15.0,37.0,7776,84,Mobile_Bus,1
20.0,AB+,19.0,9.0,11909,91,Clinic,1
41.0,B+,10.0,39.0,8824,53,Mobile_Bus,0
49.0,A-,8.0,8.0,9144,25,Mobile_Bus,1
56.0,B+,15.0,51.0,472,53,Mobile_Bus,1
21.0,AB+,7.0,7.0,6976,53,Hospital,0
,AB+,13.0,19.0,3288,42,Clinic,1
39.0,B-,11.0,36.0,999999,51,Clinic,1
35.0,AB+,9.0,47.0,8864,65,Mobile_Bus,1
22.0,AB-,5.0,13.0,6846,56,Clinic,0
60.0,O-,3.0,53.0,3397,58,Clinic,1
22.0,B-,24.0,30.0,8369,54,Mobile_Bus,1
64.0,O+,8.0,21.0,8328,32,Clinic,0
64.0,B-,26.0,21.0,4243,32,Clinic,0
,AB-,29.0,31.0,764,1,Clinic,1
33.0,A+,15.0,33.0,14395,69,Mobile_Bus,1
22.0,O+,27.0,50.0,13302,27,Clinic,1
59.0,A+,14.0,4.0,3670,91,Mobile_Bus,0
60.0,B+,12.0,6.0,5802,10,Hospital,0
38.0,AB-,3.0,55.0,8830,45,Clinic,0
28.0,O+,28.0,43.0,9071,48,Mobile_Bus,1
49.0,A-,20.0,45.0,1995,88,Mobile_Bus,1
49.0,O+,7.0,11.0,13725,5,Clinic,1
35.0,O+,24.0,,12947,34,Clinic,1
45.0,AB-,26.0,13.0,4759,15,Hospital,1
42.0,AB+,7.0,19.0,5459,13,Mobile_Bus,0
25.0,O-,13.0,43.0,10864,30,Clinic,1
29.0,AB+,9.0,42.0,4563,44,Mobile_Bus,0
34.0,A-,16.0,43.0,7577,25,Hospital,1
46.0,O+,24.0,52.0,9403,87,Hospital,1
43.0,O-,9.0,52.0,1773,71,Hospital,0
32.0,B-,25.0,21.0,3221,20,Hospital,0
49.0,AB-,11.0,55.0,13057,57,Mobile_Bus,1
54.0,AB+,29.0,20.0,3358,80,Hospital,1
40.0,B+,3.0,30.0,10182,21,Mobile_Bus,0
26.0,B-,17.0,7.0,4651,47,Clinic,1
51.0,B+,28.0,33.0,2925,92,Mobile_Bus,1
31.0,B-,28.0,6.0,778,40,Clinic,0
,AB-,14.0,12.0,12976,32,Hospital,0
31.0,B+,23.0,33.0,9702,39,Mobile_Bus,0
53.0,AB-,2.0,38.0,730,75,Mobile_Bus,0
32.0,B-,16.0,58.0,5151,64,Hospital,1
49.0,B+,26.0,51.0,11573,39,Hospital,0
62.0,AB-,27.0,31.0,8978,49,Clinic,0
25.0,A-,9.0,29.0,7003,82,Mobile_Bus,1
25.0,A+,5.0,4.0,10447,80,Hospital,0
40.0,O-,29.0,38.0,9096,30,Clinic,0
21.0,AB+,8.0,58.0,2754,66,Hospital,1
34.0,A-,20.0,5.0,11066,13,Clinic,1
51.0,O+,11.0,10.0,13747,21,Clinic,1
20.0,A+,21.0,5.0,8427,12,Mobile_Bus,0
63.0,AB+,24.0,50.0,9445,98,Clinic,1
42.0,AB-,22.0,27.0,7095,39,Mobile_Bus,1
53.0,A-,15.0,11.0,7132,92,Clinic,1
31.0,AB-,9.0,31.0,599,84,Clinic,1
55.0,A-,17.0,52.0,13548,17,Mobile_Bus,0
64.0,AB-,14.0,19.0,6792,46,Clinic,0
41.0,B+,20.0,,2900,25,Hospital,0
40.0,A+,,12.0,14886,99,Clinic,0
40.0,B+,16.0,35.0,331,60,Mobile_Bus,0
52.0,A+,10.0,20.0,11630,59,Clinic,1
27.0,B+,2.0,54.0,6995,26,Clinic,1
22.0,B+,21.0,53.0,3552,13,Hospital,1
40.0,AB+,15.0,50.0,3508,11,Clinic,1
46.0,O-,24.0,20.0,9366,3,Clinic,1
41.0,B+,20.0,21.0,10052,3,Clinic,1
23.0,AB+,22.0,4.0,10806,81,Mobile_Bus,0
55.0,O-,15.0,36.0,3261,81,Clinic,0
21.0,AB+,28.0,15.0,12743,55,Mobile_Bus,0
38.0,B+,14.0,19.0,1779,30,Clinic,1
30.0,A-,9.0,9.0,12794,21,Clinic,1
56.0,O+,6.0,59.0,2120,59,Clinic,0
25.0,O+,26.0,46.0,2719,92,Mobile_Bus,0
50.0,AB-,28.0,54.0,648,81,Hospital,0
20.0,A+,16.0,8.0,12075,12,Mobile_Bus,1
21.0,O-,25.0,28.0,1302,96,Clinic,1
52.0,O-,25.0,56.0,8352,33,Clinic,1
56.0,O+,1.0,52.0,8722,40,Mobile_Bus,0
