Donor_Age,Blood_Type,Recency,Frequency,Monetary,Time,Location,donation_density,recency_score,high_frequency_flag,Target
39.0,1.0,20.0,33.0,11263.0,86.0,2.0,0.3837209257706869,0.047619047619047616,1,0
30.0,2.0,7.0,3.0,4944.0,33.0,0.0,0.09090908815427007,0.125,0,0
39.0,1.0,13.0,36.0,12063.0,87.0,2.0,0.41379309869203335,0.07142857142857142,1,1
29.0,7.0,4.0,6.0,9039.0,46.0,2.0,0.13043477977315696,0.2,0,0
45.4,0.0,20.0,59.0,5696.0,82.0,1.0,0.7195121863474124,0.047619047619047616,1,1
30.0,6.0,9.4,9.0,1213.0,47.0,1.0,0.19148935762788602,0.09615384615384615,0,0
62.0,2.0,14.0,39.0,1788.0,94.0,2.0,0.4148936126075148,0.06666666666666667,1,0
23.0,6.0,2.0,34.0,13155.0,80.0,2.0,0.4249999946875001,0.3333333333333333,1,1
26.0,7.0,14.0,38.0,1819.0,4.0,2.0,9.499997625000594,0.06666666666666667,1,1
29.0,7.0,23.0,46.0,7448.0,2.0,2.0,22.99998850000575,0.041666666666666664,1,1
26.0,0.0,5.0,29.0,9095.0,61.0,2.0,0.47540982827197004,0.16666666666666666,0,0
55.0,4.0,25.0,39.0,5522.0,62.0,0.0,0.6290322479188347,0.038461538461538464,1,0
29.0,3.0,1.0,7.0,3981.0,29.0,2.0,0.24137930202140337,0.5,0,1
41.0,4.0,23.0,47.0,2828.0,37.0,0.0,1.2702702359386424,0.041666666666666664,1,1
33.0,0.0,25.0,47.0,5612.0,31.0,2.0,1.516128983350678,0.038461538461538464,1,1
64.0,1.0,28.0,2.0,7603.0,25.0,1.0,0.07999999680000013,0.034482758620689655,0,1
31.0,5.0,24.0,6.0,11504.0,23.0,1.0,0.2608695538752368,0.04,0,1
23.0,5.0,25.0,11.0,7005.0,16.0,1.0,0.6874999570312527,0.038461538461538464,0,1
29.0,7.0,12.0,26.0,9595.0,81.0,2.0,0.32098765035817717,0.07692307692307693,0,0
33.0,0.0,27.0,8.0,11044.0,25.0,2.0,0.3199999872000005,0.03571428571428571,0,0
18.0,6.0,4.0,45.0,3656.0,47.0,2.0,0.9574467881394301,0.2,1,0
62.0,5.0,17.0,52.0,6941.0,6.0,1.0,8.666665222222463,0.05555555555555555,1,0
29.0,4.0,12.0,43.0,5733.0,77.0,1.0,0.5584415511890708,0.07692307692307693,1,1
61.0,7.0,16.0,14.0,14205.0,73.0,1.0,0.19178081929067373,0.058823529411764705,0,0
50.0,1.0,15.0,59.0,2437.0,99.0,0.0,0.5959595899398021,0.0625,1,0
34.0,2.0,3.0,17.0,1337.0,11.0,1.0,1.5454544049586905,0.25,0,0
57.0,0.0,29.0,32.0,14453.0,75.0,0.0,0.4266666609777779,0.03333333333333333,1,0
35.0,4.0,6.0,49.0,9741.0,69.0,0.0,0.7101449172442766,0.14285714285714285,1,0
62.0,1.0,4.0,51.0,8982.0,63.0,1.0,0.8095237966742255,0.2,1,1
35.0,5.0,17.0,35.0,13779.0,75.0,1.0,0.46666666044444455,0.05555555555555555,1,1
43.0,2.0,18.0,49.0,4451.0,55.0,1.0,0.8909090747107441,0.05263157894736842,1,1
30.0,5.0,12.0,52.0,259.0,7.0,2.0,7.42857036734709,0.07692307692307693,1,0
28.0,2.0,20.0,55.0,14289.0,1.0,0.0,54.99994500005501,0.047619047619047616,1,1
58.0,6.0,28.0,6.0,4398.0,59.0,0.0,0.10169491353059469,0.034482758620689655,0,0
61.0,5.0,21.0,50.0,12844.0,24.0,0.0,2.0833332465277814,0.045454545454545456,1,0
35.0,2.0,14.0,22.6,11804.0,3.0,0.0,7.53333082222306,0.06666666666666667,0,0
26.0,3.0,4.0,5.0,8120.0,54.0,2.0,0.092592590877915,0.2,0,0
24.0,5.0,8.0,3.0,3506.0,54.0,0.0,0.05555555452674899,0.1111111111111111,0,1
55.0,0.0,13.0,45.0,4390.0,33.0,2.0,1.3636363223140509,0.07142857142857142,1,0
34.0,6.0,6.0,35.0,11221.0,41.0,0.0,0.8536585157644265,0.14285714285714285,1,0
60.0,4.0,18.0,34.0,3682.0,91.0,1.0,0.37362636952058936,0.05263157894736842,1,1
62.0,4.0,1.0,15.0,6628.0,68.0,1.0,0.22058823205017306,0.5,0,1
47.0,6.0,16.0,24.0,10593.0,84.0,2.0,0.2857142823129252,0.058823529411764705,0,0
46.0,6.0,6.0,37.0,12297.0,13.0,1.0,2.846153627218952,0.14285714285714285,1,0
22.0,5.0,26.0,11.0,8331.0,6.0,1.0,1.8333330277778286,0.037037037037037035,0,1
44.0,4.0,6.0,1.0,9780.0,65.0,2.0,0.015384615147928998,0.14285714285714285,0,0
31.0,3.0,17.0,58.0,2556.0,71.0,1.0,0.8169013969450508,0.05555555555555555,1,1
60.0,6.0,28.0,36.0,2878.0,93.0,2.0,0.38709677003121756,0.034482758620689655,1,0
21.0,1.0,14.0,8.0,11736.0,26.0,0.0,0.30769229585798863,0.06666666666666667,0,0
57.0,0.0,1.0,2.0,578.0,41.0,0.0,0.048780486615110086,0.5,0,1
42.0,1.0,5.0,53.0,5177.0,8.0,2.0,6.624999171875104,0.16666666666666666,1,1
47.0,4.0,29.0,22.0,12329.0,35.0,1.0,0.6285714106122454,0.03333333333333333,0,1
28.0,1.0,27.0,28.0,1803.0,39.0,1.0,0.717948699539777,0.03571428571428571,0,0
32.0,1.0,13.0,20.0,8041.0,84.0,2.0,0.238095235260771,0.07142857142857142,0,1
64.0,6.0,1.0,14.0,1816.0,41.0,0.0,0.3414634063057706,0.5,0,0
61.0,0.0,9.0,44.0,14861.0,30.0,0.0,1.4666666177777794,0.1,1,0
18.0,5.0,2.0,42.0,14774.0,55.0,0.0,0.7636363497520664,0.3333333333333333,1,0
31.0,7.0,7.0,32.0,14876.0,79.0,0.0,0.40506328601185715,0.125,1,0
23.0,5.0,23.0,46.0,1739.0,17.0,1.0,2.7058821937716355,0.041666666666666664,1,0
60.0,5.0,17.0,40.0,10152.0,72.0,0.0,0.5555555478395063,0.05555555555555555,1,1
62.0,4.0,26.0,36.0,4820.0,46.0,2.0,0.7826086786389418,0.037037037037037035,1,0
40.4,3.0,17.0,13.0,4614.0,23.0,2.0,0.5652173667296797,0.05555555555555555,0,1
62.0,2.0,26.0,36.0,8412.0,25.0,0.0,1.4399999424000023,0.037037037037037035,1,0
39.0,4.0,15.0,56.0,1630.0,54.0,1.0,1.0370370178326478,0.0625,1,0
31.0,1.0,24.0,56.0,10416.0,22.0,2.0,2.545454429752071,0.04,1,0
24.0,4.0,21.0,30.0,999999.0,61.0,1.0,0.4918032706261759,0.045454545454545456,0,1
29.0,7.0,8.0,26.0,10206.0,51.0,1.0,0.5098039115724724,0.1111111111111111,0,0
24.0,0.0,16.0,44.0,1786.0,12.0,1.0,3.6666663611111368,0.058823529411764705,1,1
29.0,5.0,11.0,56.0,10889.0,72.0,2.0,0.7777777669753089,0.08333333333333333,1,1
30.0,1.0,24.0,26.0,7412.0,82.0,0.0,0.3170731668649614,0.04,0,0
34.0,7.0,14.0,47.0,11976.0,35.0,2.0,1.342857104489797,0.06666666666666667,1,0
51.0,7.0,1.0,48.0,8581.0,90.0,1.0,0.5333333274074075,0.5,1,0
40.0,5.0,16.0,25.0,3055.0,85.0,2.0,0.294117643598616,0.058823529411764705,0,1
49.0,5.0,14.0,56.0,14632.0,58.0,2.0,0.9655172247324617,0.06666666666666667,1,1
21.0,5.0,5.0,48.0,12209.0,76.0,0.0,0.6315789390581719,0.16666666666666666,1,1
47.0,4.0,23.0,43.0,3974.0,32.0,1.0,1.3437499580078138,0.041666666666666664,1,0
22.0,6.0,14.0,37.0,3431.0,85.0,0.0,0.4352941125259516,0.06666666666666667,1,0
31.0,5.0,14.0,59.0,366.0,71.0,1.0,0.830985903788931,0.06666666666666667,1,0
53.0,6.0,19.0,51.0,3087.0,81.0,1.0,0.6296296218564245,0.05,1,0
34.0,4.0,20.4,10.0,6960.0,12.0,2.0,0.8333332638888947,0.04672897196261683,0,1
30.0,4.0,17.0,39.0,8880.0,17.0,1.0,2.2941175121107342,0.05555555555555555,1,0
22.0,5.0,1.0,22.0,12337.0,12.0,1.0,1.8333331805555684,0.5,0,0
27.0,7.0,23.0,16.8,10494.0,78.0,2.0,0.2153846126232742,0.041666666666666664,0,0
49.0,3.0,2.0,3.0,1506.0,84.0,1.0,0.03571428528911565,0.3333333333333333,0,1
43.0,6.0,19.0,18.0,3409.0,46.0,2.0,0.3913043393194709,0.05,0,1
58.0,7.0,14.0,45.0,3542.0,91.0,1.0,0.49450548907136826,0.06666666666666667,1,1
59.0,0.0,2.0,48.0,7584.0,72.0,1.0,0.6666666574074076,0.3333333333333333,1,1
39.0,7.0,12.0,47.0,11907.0,50.0,1.0,0.9399999812000004,0.07692307692307693,1,1
54.0,4.0,12.2,9.0,14809.0,14.0,0.0,0.6428570969387788,0.07575757575757576,0,0
64.0,0.0,12.0,22.0,14245.0,36.0,1.0,0.611111094135803,0.07692307692307693,0,1
58.0,7.0,21.0,36.0,12817.0,43.0,0.0,0.8372092828555981,0.045454545454545456,1,0
31.0,6.0,16.0,12.0,1193.0,71.0,2.0,0.16901408212656224,0.058823529411764705,0,1
18.0,1.0,10.0,5.0,10096.0,78.0,0.0,0.06410256328073637,0.09090909090909091,0,0
25.0,4.0,18.0,11.0,12056.0,67.0,2.0,0.1641791020271776,0.05263157894736842,0,0
54.0,4.0,18.0,48.0,3138.0,91.0,2.0,0.5274725216761261,0.05263157894736842,1,1
37.0,5.0,6.0,7.0,6952.0,53.0,1.0,0.13207546920612323,0.14285714285714285,0,0
33.0,1.0,6.0,43.0,7694.0,25.0,2.0,1.7199999312000027,0.14285714285714285,1,0
40.0,5.0,29.0,36.0,891.0,91.0,2.0,0.3956043912570946,0.03333333333333333,1,1
50.0,0.0,3.0,35.0,5434.0,76.0,0.0,0.460526309729917,0.25,1,1
49.0,5.0,27.0,32.4,2269.0,85.0,1.0,0.3811764661038063,0.03571428571428571,1,0
51.0,7.0,26.0,24.0,999999.0,33.0,1.0,0.7272727052341605,0.037037037037037035,0,0
60.0,1.0,4.0,57.0,11213.0,14.0,2.0,4.071428280612266,0.2,1,0
23.0,2.0,9.0,4.0,13565.0,94.0,0.0,0.04255319103666818,0.1,0,1
33.0,2.0,5.0,20.0,10068.0,42.0,1.0,0.476190464852608,0.16666666666666666,0,1
39.0,5.0,24.0,47.0,2657.0,2.0,1.0,23.499988250005874,0.04,1,1
58.0,5.0,26.0,42.0,9108.0,5.0,2.0,8.399998320000336,0.037037037037037035,1,1
57.0,3.0,9.0,51.0,9050.0,44.0,1.0,1.1590908827479345,0.1,1,0
26.0,3.0,12.0,16.0,12257.0,86.0,1.0,0.1860465094645755,0.07692307692307693,0,0
58.0,5.0,29.0,45.0,6783.0,18.0,1.0,2.4999998611111187,0.03333333333333333,1,1
38.2,2.0,29.0,32.0,5732.0,86.0,1.0,0.372093018929151,0.03333333333333333,1,1
39.0,1.0,7.0,8.0,7796.0,30.0,2.0,0.26666665777777804,0.125,0,0
37.0,2.0,7.0,19.0,902.0,1.0,0.0,18.999981000019,0.125,0,1
48.0,3.0,25.0,24.0,2014.0,21.0,1.0,1.1428570884353766,0.038461538461538464,0,0
38.0,7.0,19.0,28.0,586.0,76.0,1.0,0.3684210477839336,0.05,0,1
40.4,7.0,2.0,7.0,1196.0,73.0,2.0,0.09589040964533686,0.3333333333333333,0,1
64.0,0.0,20.8,4.0,3225.0,17.0,2.0,0.23529410380622917,0.04587155963302752,0,0
40.0,7.0,5.0,39.0,9466.0,71.0,0.0,0.5492957669113272,0.16666666666666666,1,0
30.0,3.0,2.0,11.0,9579.0,76.0,0.0,0.14473684020083105,0.3333333333333333,0,0
55.0,3.0,4.0,44.0,4345.0,9.0,1.0,4.8888883456790735,0.2,1,1
21.0,1.0,10.0,55.0,14363.0,63.0,2.0,0.8730158591584785,0.09090909090909091,1,1
32.0,6.0,15.0,26.0,9746.0,71.0,1.0,0.36619717794088485,0.0625,0,0
19.0,4.0,9.8,36.0,10918.0,97.0,1.0,0.37113401679243285,0.09259259259259259,1,1
34.0,6.0,18.2,4.0,7621.0,12.0,0.0,0.3333333055555579,0.052083333333333336,0,1
37.0,6.0,21.0,59.0,8740.0,11.0,0.0,5.363635876033102,0.045454545454545456,1,1
44.0,0.0,20.0,39.0,1097.0,25.0,2.0,1.5599999376000024,0.047619047619047616,1,0
34.0,2.0,11.0,16.0,7955.0,97.0,0.0,0.16494845190774793,0.08333333333333333,0,1
31.0,4.0,2.0,11.0,13650.0,59.0,1.0,0.18644067480609028,0.3333333333333333,0,0
59.0,7.0,16.6,47.0,617.0,82.0,2.0,0.5731707247174302,0.056818181818181816,1,1
22.0,0.0,2.0,45.0,14020.0,57.0,2.0,0.7894736703601111,0.3333333333333333,1,1
56.0,6.0,28.0,13.0,14083.0,93.0,1.0,0.13978494473349523,0.034482758620689655,0,1
26.0,4.0,26.0,45.0,8318.0,15.0,0.0,2.9999998000000136,0.037037037037037035,1,0
43.0,7.0,10.0,2.0,4569.0,83.0,0.0,0.02409638525185078,0.09090909090909091,0,1
59.0,4.0,19.0,42.0,7364.0,28.0,2.0,1.4999999464285734,0.05,1,1
27.0,1.0,10.0,56.0,4270.0,54.0,1.0,1.0370370178326478,0.09090909090909091,1,0
62.0,3.0,22.0,49.0,9481.0,84.0,2.0,0.583333326388889,0.043478260869565216,1,0
33.0,1.0,16.0,10.8,769.0,26.0,1.0,0.41538459940828465,0.058823529411764705,0,1
37.0,2.0,28.0,11.0,6939.0,14.0,0.0,0.7857142295918408,0.034482758620689655,0,1
53.0,5.0,14.0,16.0,1399.0,55.0,1.0,0.2909090856198348,0.06666666666666667,0,1
20.0,0.0,29.0,39.0,6874.0,58.0,0.0,0.6724137815101072,0.03333333333333333,1,0
41.0,0.0,29.0,34.0,2108.0,44.0,1.0,0.7727272551652897,0.03333333333333333,1,1
24.0,3.0,20.0,20.0,9877.0,36.0,1.0,0.5555555401234572,0.047619047619047616,0,0
25.0,2.0,14.0,16.0,3016.0,59.0,1.0,0.2711864360815858,0.06666666666666667,0,0
48.0,2.0,16.0,44.0,7250.0,20.0,2.0,2.1999998900000053,0.058823529411764705,1,1
39.0,3.0,6.0,57.0,8799.0,86.0,2.0,0.6627906899675501,0.14285714285714285,1,1
46.0,4.0,1.0,23.0,7508.0,98.0,0.0,0.23469387515618495,0.5,0,1
21.0,1.0,15.0,14.0,8273.0,7.0,0.0,1.999999714285755,0.0625,0,1
29.0,5.0,24.0,53.0,12129.0,4.0,2.0,13.249996687500827,0.04,1,1
41.0,2.0,21.0,48.0,3962.0,6.0,1.0,7.9999986666668885,0.045454545454545456,1,1
22.0,0.0,11.0,30.2,9755.0,89.0,1.0,0.3393258388839793,0.08333333333333333,0,1
34.0,5.0,7.0,19.0,12219.0,51.0,2.0,0.37254901230296056,0.125,0,0
30.0,1.0,5.0,48.0,10660.0,35.0,2.0,1.3714285322448991,0.16666666666666666,1,0
45.0,3.0,6.0,33.0,8164.0,9.0,0.0,3.666666259259305,0.14285714285714285,1,1
57.0,3.0,14.0,8.0,6222.0,15.0,0.0,0.5333332977777802,0.06666666666666667,0,0
46.0,5.0,27.0,7.0,3698.0,63.0,2.0,0.11111110934744271,0.03571428571428571,0,0
48.0,5.0,16.0,6.0,14615.0,19.0,1.0,0.31578945706371275,0.058823529411764705,0,0
27.0,3.0,13.0,12.0,4261.0,71.0,1.0,0.16901408212656224,0.07142857142857142,0,1
27.0,3.0,7.0,25.0,6408.0,42.0,2.0,0.59523808106576,0.125,0,1
60.0,3.0,7.0,52.0,4351.0,33.0,0.0,1.5757575280073477,0.125,1,0
41.0,0.0,28.0,17.0,9990.0,68.0,2.0,0.24999999632352948,0.034482758620689655,0,1
25.0,4.0,9.0,23.0,4453.0,58.0,0.0,0.3965517173008325,0.1,0,0
26.0,5.0,7.0,8.0,7509.0,94.0,0.0,0.08510638207333636,0.125,0,0
32.0,0.0,24.0,16.0,10297.0,48.0,2.0,0.3333333263888891,0.04,0,1
29.0,2.0,2.0,12.0,11526.0,86.0,2.0,0.1395348820984316,0.3333333333333333,0,0
39.8,7.0,9.0,23.0,8977.0,99.0,2.0,0.23232322997653304,0.1,0,1
62.0,6.0,3.0,7.0,2902.0,61.0,0.0,0.11475409647944104,0.25,0,0
62.0,3.0,28.0,28.0,495.0,10.0,0.0,2.799999720000028,0.034482758620689655,0,0
25.0,1.0,4.0,47.0,1486.0,34.0,1.0,1.3823529005190325,0.2,1,1
32.0,3.0,10.0,46.0,2396.0,7.0,2.0,6.5714276326531955,0.09090909090909091,1,1
34.0,2.0,4.0,47.0,1673.0,26.0,2.0,1.807692238165683,0.2,1,0
61.0,6.0,16.0,45.0,8867.0,79.0,1.0,0.5696202459541742,0.058823529411764705,1,0
22.0,7.0,20.0,15.8,11863.0,69.0,0.0,0.22898550392774633,0.047619047619047616,0,0
29.0,3.0,6.0,23.0,1640.0,90.0,2.0,0.2555555527160494,0.14285714285714285,0,0
49.0,5.0,6.0,38.4,497.0,63.0,2.0,0.6095237998488285,0.14285714285714285,1,1
45.0,0.0,17.2,43.0,5007.0,40.0,1.0,1.0749999731250008,0.054945054945054944,1,1
54.0,5.0,19.0,23.0,394.0,13.0,2.0,1.7692306331361052,0.05,0,1
56.0,4.0,26.0,47.0,5216.0,47.0,1.0,0.9999999787234047,0.037037037037037035,1,1
58.0,6.0,28.0,57.0,2610.0,30.0,2.0,1.8999999366666687,0.034482758620689655,1,0
30.0,1.0,6.0,38.0,7150.0,62.0,1.0,0.6129032159209159,0.14285714285714285,1,0
28.0,7.0,10.0,3.0,1546.0,80.0,1.0,0.03749999953125001,0.09090909090909091,0,1
63.0,6.0,21.0,52.0,11203.0,23.0,0.0,2.260869466918719,0.045454545454545456,1,1
52.0,3.0,1.0,41.4,12257.0,41.0,2.0,1.0097560729327788,0.5,1,1
51.0,3.0,23.0,6.0,12448.0,38.0,2.0,0.15789473268698073,0.041666666666666664,0,1
35.0,5.0,19.0,50.0,10274.0,7.0,2.0,7.142856122449126,0.05,1,1
36.0,6.0,28.0,30.0,5634.0,8.0,1.0,3.749999531250059,0.034482758620689655,0,0
30.0,7.0,9.0,12.0,7661.0,91.0,1.0,0.13186813041903153,0.1,0,1
59.0,7.0,23.0,11.0,3338.0,43.0,2.0,0.25581394753921055,0.041666666666666664,0,0
34.0,0.0,9.0,48.0,10242.0,49.0,1.0,0.9795918167430242,0.1,1,1
30.0,3.0,5.0,29.0,5724.0,74.0,2.0,0.3918918865960556,0.16666666666666666,0,0
28.0,0.0,3.0,19.0,13355.0,94.0,1.0,0.20212765742417385,0.25,0,0
55.0,5.0,18.0,54.0,330.0,38.0,0.0,1.4210525941828265,0.05263157894736842,1,1
22.0,1.0,18.0,37.0,7945.0,65.0,2.0,0.569230760473373,0.05263157894736842,1,1
35.0,5.0,3.0,13.0,1390.0,5.0,0.0,2.599999480000104,0.25,0,1
55.0,2.0,23.0,24.0,13219.0,6.0,1.0,3.9999993333334443,0.041666666666666664,0,1
37.2,2.0,19.6,11.0,8637.0,65.0,2.0,0.16923076662721898,0.04854368932038835,0,0
27.0,2.0,7.0,50.0,10869.0,12.0,1.0,4.166666319444474,0.125,1,0
58.0,6.0,10.8,14.0,5109.0,99.0,1.0,0.14141413998571575,0.0847457627118644,0,1
30.0,4.0,23.0,6.0,11932.0,7.0,2.0,0.857142734693895,0.041666666666666664,0,1
63.0,3.0,26.0,41.0,12416.0,48.0,2.0,0.8541666488715282,0.037037037037037035,1,1
47.0,5.0,27.0,52.0,3232.0,81.0,2.0,0.6419753007163543,0.03571428571428571,1,1
31.0,3.0,6.0,35.0,9557.0,40.0,0.0,0.8749999781250006,0.14285714285714285,1,0
44.0,6.0,28.0,18.0,12350.0,19.0,2.0,0.9473683711911383,0.034482758620689655,0,1
39.0,4.0,11.0,18.0,3982.0,23.0,0.0,0.7826086616257103,0.08333333333333333,0,0
46.0,1.0,3.0,19.0,5059.0,5.0,2.0,3.799999240000152,0.25,0,1
51.0,7.0,21.0,15.0,3154.0,72.0,0.0,0.20833333043981486,0.045454545454545456,0,1
52.0,1.0,21.8,21.0,2062.0,60.0,2.0,0.3499999941666668,0.043859649122807015,0,1
21.0,7.0,29.0,3.0,11511.0,23.0,0.0,0.1304347769376184,0.03333333333333333,0,0
50.0,2.0,19.0,28.0,9149.0,35.0,2.0,0.7999999771428579,0.05,0,1
20.0,2.0,27.0,28.2,13775.0,12.0,2.0,2.349999804166683,0.03571428571428571,0,1
51.0,2.0,5.0,27.0,303.0,74.0,0.0,0.36486485993425866,0.16666666666666666,0,1
37.0,5.0,8.0,50.0,4617.0,28.0,1.0,1.7857142219387778,0.1111111111111111,1,0
19.0,5.0,9.0,2.0,2811.0,38.0,0.0,0.05263157756232691,0.1,0,0
18.0,7.0,6.0,58.0,8528.0,31.0,2.0,1.8709676815816876,0.14285714285714285,1,0
20.0,1.0,19.0,25.0,7431.0,66.0,2.0,0.3787878730486686,0.05,0,0
34.0,3.0,2.0,45.0,11347.0,24.0,1.0,1.874999921875003,0.3333333333333333,1,1
35.0,7.0,1.0,20.0,9714.0,63.0,0.0,0.3174603124212649,0.5,0,1
38.0,4.0,10.0,18.0,10966.0,88.0,2.0,0.20454545222107443,0.09090909090909091,0,1
20.0,5.0,7.0,56.0,14347.0,89.0,2.0,0.6292134760762531,0.125,1,1
57.0,4.0,15.0,47.0,7409.0,58.0,2.0,0.8103448136147446,0.0625,1,0
41.0,6.0,24.0,51.0,1180.0,62.0,2.0,0.8225806318938608,0.04,1,1
24.0,7.0,18.0,49.0,8893.0,74.0,2.0,0.6621621532140249,0.05263157894736842,1,1
51.0,3.0,7.0,49.0,10946.0,35.0,2.0,1.3999999600000013,0.125,1,1
53.0,5.0,8.0,6.0,9190.0,51.0,0.0,0.11764705651672439,0.1111111111111111,0,1
41.0,4.0,15.0,46.0,8625.0,37.0,0.0,1.2432432096420756,0.0625,1,0
38.0,0.0,12.0,20.0,12254.0,24.0,0.0,0.8333332986111125,0.07692307692307693,0,0
64.0,3.0,17.2,10.0,5026.0,10.0,1.0,0.99999990000001,0.054945054945054944,0,1
19.0,4.0,24.0,42.0,14066.0,41.0,2.0,1.0243902189173117,0.04,1,0
33.0,5.0,5.0,15.0,7622.0,50.0,2.0,0.29999999400000016,0.16666666666666666,0,1
35.2,0.0,26.0,9.0,7109.0,10.0,1.0,0.8999999100000091,0.037037037037037035,0,0
45.0,6.0,7.0,8.0,2838.0,35.0,1.0,0.22857142204081654,0.125,0,0
43.4,4.0,10.0,50.0,6407.0,18.0,1.0,2.7777776234567986,0.09090909090909091,1,0
49.0,0.0,5.0,24.0,3137.0,38.0,0.0,0.6315789307479229,0.16666666666666666,0,0
64.0,1.0,12.0,54.0,10667.0,13.0,0.0,4.153845834319552,0.07692307692307693,1,0
35.0,6.0,10.0,9.0,7917.0,73.0,0.0,0.12328766954400452,0.09090909090909091,0,1
34.0,2.0,27.0,45.0,7259.0,64.0,2.0,0.703124989013672,0.03571428571428571,1,0
39.0,1.0,18.4,27.0,9671.0,47.0,2.0,0.5744680728836581,0.051546391752577324,0,1
19.0,4.0,24.0,5.0,8643.0,72.0,1.0,0.06944444347993829,0.04,0,0
27.0,4.0,16.0,46.0,480.0,93.0,1.0,0.4946236505954446,0.058823529411764705,1,0
47.0,7.0,19.0,14.0,5325.0,55.0,0.0,0.25454544991735545,0.05,0,0
27.0,3.0,24.0,47.0,5371.0,96.0,1.0,0.48958332823350703,0.04,1,0
18.0,5.0,16.0,11.0,12598.0,40.0,1.0,0.2749999931250002,0.058823529411764705,0,0
54.0,3.0,7.0,19.0,12858.0,47.0,0.0,0.40425531054775937,0.125,0,0
23.0,7.0,24.0,15.0,719.0,97.0,2.0,0.15463917366351368,0.04,0,0
51.0,1.0,19.0,14.0,497.0,61.0,0.0,0.22950819295888208,0.05,0,0
61.0,1.0,13.0,47.0,6446.0,20.0,0.0,2.349999882500006,0.07142857142857142,1,0
60.0,6.0,27.0,34.0,2173.0,48.0,1.0,0.7083333185763893,0.03571428571428571,1,0
52.0,1.0,10.0,32.0,6224.0,4.0,0.0,7.9999980000005,0.09090909090909091,1,1
56.0,6.0,8.0,58.0,5705.0,33.0,2.0,1.757575704315888,0.1111111111111111,1,0
25.0,1.0,15.0,54.0,5177.0,72.0,1.0,0.7499999895833335,0.0625,1,0
34.0,5.0,3.0,42.0,7181.0,53.0,2.0,0.7924528152367394,0.25,1,0
61.0,0.0,29.0,36.0,10641.0,65.0,2.0,0.553846145325444,0.03333333333333333,1,0
56.0,7.0,19.0,16.0,626.0,7.0,0.0,2.28571395918372,0.05,0,1
18.0,1.0,28.0,31.0,4161.0,99.0,0.0,0.31313130996837063,0.034482758620689655,1,0
45.6,7.0,8.8,12.0,8507.0,62.0,2.0,0.19354838397502608,0.1020408163265306,0,0
21.0,1.0,15.0,27.0,9487.0,67.0,2.0,0.40298506861216316,0.0625,0,0
41.2,4.0,19.0,49.0,6245.0,34.0,1.0,1.4411764282006934,0.05,1,0
64.0,4.0,18.6,8.0,11210.0,61.0,1.0,0.1311475388336469,0.0510204081632653,0,0
28.0,3.0,25.0,13.0,11725.0,30.0,2.0,0.4333333188888894,0.038461538461538464,0,0
33.0,3.0,27.0,51.0,9743.0,24.0,1.0,2.124999911458337,0.03571428571428571,1,0
35.0,6.0,9.0,18.0,2794.0,17.0,1.0,1.0588234671280312,0.1,0,0
